niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
6e,Garçon,3,2,2,1,2,2,2,3,"['calme', 'patience', 'écoute']",['environnement et solidarité'],"['salle de classe', 'amis', 'vie scolaire']","['activités', 'liberté']","['félicité', 'amis']",[],"['récréation', 'permanence']",[],0
6e,Fille,3,2,2,0,2,2,2,2,['aucun'],[],['la cour'],['casiers'],[],[],[],[],3
6e,Fille,2,1,2,0,2,2,1,3,[],[],['salle de classe'],"['voyages', 'activités']",['pause'],['évaluation'],['permanence'],[],3
6e,Garçon,2,2,2,0,2,3,0,2,[],[],['la cour'],"['terrains', 'climatisation']",[],[],['terrain de foot'],['salle de classe'],3
6e,Garçon,2,0,1,0,1,1,2,0,"['parole', 'conflit']",[],[],['aucun'],['jouer avec un ballon'],['tout le reste du temps'],"['recreation', 'salle de classe', 'cantine']",['endroit'],3
5e,Garçon,3,2,2,3,3,2,2,3,[],"['MUN', 'sport']",[],['notes'],['parler avec mes amis'],[],[],[],0
5e,Fille,3,3,0,2,3,3,1,3,['aucun'],['projet pédagogiques'],['la cour'],['téléphone'],"['cour de récré', 'compétitions nationales']","['canicule', 'salles non climatisées']",['ccc'],['bureau'],0
5e,Fille,2,1,2,1,2,0,2,2,['aucun'],[],[],['cantine'],"['la cour', 'cours de mme faten']",[],['classe'],['salle de classe'],3
5e,Fille,3,2,3,2,2,2,2,3,"['compréhension', 'écoute', 'discussion']",['art et culture'],"['copine', 'm. achraf', 'vie scolaire']","['cantine', 'nourriture']",['cantine'],"['vie scolaire', 'pas appeler']","['cantine', 'cc']",['permanence'],0
6e,Fille,2,2,2,2,1,2,0,2,"['calme', 'respect', 'écoute']","['environnement et solidarité', 'art et culture', 'MUN']","['la cour', 'dehors']",['horaire'],['activités'],['punitions'],['la cour'],[],2
6e,Garçon,2,1,2,3,1,2,2,2,"['dialogue', 'vie de classe']","['environnement et solidarité', ""vie de l'établissement""]","['la cour', 'vie de classe']","['déplacement', 'confort', 'mental']","['heure or cour', 'cc']","['profs en retard', 'classe']","['ccc', 'salle de classe']",[],2
6e,Fille,2,2,3,1,2,2,1,2,['honnêteté'],['MUN'],['la cour'],[],[],[],[],[],3
5e,Fille,3,1,3,0,2,2,1,3,['compréhension'],[],"['salle de classe', 'auditorium']","['choix', 'goûter', 'chaussures', 'téléphone']","['prof absent', 'jeux en classe', 'goûter', 'vacances']","['évaluation surprise', 'prof tord', 'mauvaise classe']","['ccc', 'permanance', 'classe']",[],3
4e,Fille,3,3,3,1,3,3,3,3,"['communication', 'dialogue']",['MUN'],['salle de classe'],['horaires'],['la cour'],['évaluation'],['recreation'],['toilettes'],0
6e,Fille,2,2,3,0,2,1,2,2,['aucun'],[],['spe'],"['sérieux', 'arabe', 'acceptation', 'religieux', 'hijab']",[],[],['ccc'],[],3
4e,Garçon,2,2,3,3,1,2,0,3,['équité'],['MUN'],[],['décharge'],['sorties à lyautey'],['pauses méridiennes'],['salle de classe'],['médiathèque'],2
6e,Garçon,2,2,3,0,2,3,2,2,['prévisibilité'],[],['profs'],"['devoirs', 'classe']",['profs de bonne humeur'],"['évaluation', 'évaluations surprises']",['foyer'],[],3
5e,Fille,2,1,1,2,1,1,1,2,[],['MUN'],[],['téléphones'],"['amis', 'copies']","['évaluation', 'ds commun']",['classe'],['permanence'],2
4e,Garçon,0,0,0,1,0,0,0,0,['respect'],['art et culture'],['aucun'],[],[],[],[],[],1
6e,Fille,2,2,3,0,1,1,2,2,"['humour', 'jeu']",[],[],"['fontaines', 'sorties', 'climatisation', 'foot']",['activités'],"['arrogances', 'bêtises']",['terrain'],['classe'],3
4e,Fille,2,1,2,0,1,1,0,2,[],[],[],[],['la cour'],['classe'],['la cour'],"['vie scolaire', 'salle de classe']",1
4e,Garçon,2,2,2,2,1,1,0,0,['écoute'],[],['aucun'],"['clim', 'horaires', 'téléphone']",[],[],[],[],2
5e,Garçon,2,2,2,1,2,1,1,2,"['discussion', 'confiance']",[],['aucun'],"['vitesse', 'sortie', 'service', 'retard']",['projets'],['évaluation'],"['espace', 'ccc']",['salle de classe'],3
6e,Garçon,2,3,3,2,2,1,2,3,"['calme', 'douceur']",['sport'],[],['horaire'],['jouer au foot'],['rend les évals'],['salle de classe'],[],0
5e,Garçon,0,0,0,0,0,0,0,0,['communication'],[],['aucun'],['profs'],['amis'],['évaluation'],['médiathèque'],['la cour'],1
4e,Fille,2,2,2,1,1,1,1,2,['aucun'],"[""vie de l'établissement""]",['aucun'],['aucun'],['cours agréables'],"['pression', 'manque de respect']",['ccc'],[],2
4e,Fille,2,1,3,2,1,1,2,3,"['écoute', 'compréhension']","[""vie de l'établissement"", 'environnement et solidarité']",['classe'],['extérieur'],"['amis', 'certains cours']","['certains cours', 'fin de la journée']","['classe', 'médiathèque', 'permanence']",[],2
5e,Fille,3,2,3,1,1,1,2,3,[],"['environnement et solidarité', 'projet pédagogiques']",['salle de classe'],"['activités', 'ateliers']","['compréhension', ""travail d'équipe""]","['malentendus', 'silence']","['la cour', 'cdi']",[],0
5e,Fille,2,2,2,3,2,1,1,1,"['écoute', 'empathie', 'sensibilité', 'dialogue', 'soutien']","['MUN', 'MASSMUN', 'OSUIMUN', 'THIMUN', 'FERMUN', 'MEDMUN']",[],['queue'],[],"['charge de travail', 'ne pas voir les parents']",['permanence'],[],2
6e,Fille,2,2,2,0,1,2,1,2,['ton doux'],[],"['salle de classe', 'groupe']",['robinets'],"['activités', 'chose amusantes', 'éducatifs']",[],[],['détente'],3
4e,Garçon,2,0,1,0,0,0,0,2,[],[],[],['permanence'],['vacances'],['classe'],['ccc'],['permance'],1
4e,Garçon,0,0,1,1,1,1,0,1,['aucun'],['environnement et solidarité'],"['salle de classe', 'la cour']",['aucun'],['vacances'],"[""note d'évaluation""]",['terrain'],['bureau'],1
5e,Fille,3,3,3,3,2,3,1,1,[],['projet pédagogiques'],['aucun'],['téléphone'],['la cour'],[],['ccc'],[],0
6e,Garçon,2,2,2,3,1,2,2,2,[],['sport'],['salle de classe'],['terrain'],[],[],['salle de classe'],[],2
6e,Fille,2,1,2,2,0,0,1,3,['écoute'],['MUN'],[],['climatisation'],"[""cours d'eps""]",['cantine sous le soleil'],['terrain'],['permanences'],2
5e,Fille,2,1,2,3,1,2,2,2,"['souplesse', 'réduction des restrictions']",['MUN'],[],['interdiction'],"['pauses midi', 'la cour']",[],[],[],2
5e,Fille,2,2,3,2,2,1,1,2,[],['MUN'],['la cour'],[],['discuter avec amies'],[],['la cour'],['salle de classe'],2
6e,Fille,2,1,2,2,1,1,0,2,[],['sport'],[],"['règles', 'vestimentaire']",['la cour'],[],[],[],2
4e,Fille,2,1,2,1,1,1,2,2,"['compréhension', 'dialogue']",['projet pédagogiques'],[],"['écouter', 'techniques', 'apprentissage']",['amis'],['classe'],['médiathèque'],['permanence'],3
4e,Garçon,3,2,2,2,1,1,2,1,"['dialogue', 'écoute']",['sport'],"['établissement', 'surveillant', 'cpe']","['activité', 'tournoi', 'foot', 'espaces', 'casiers']","['famille', 'pause', 'amis', 'manger']",[],['médiathèque'],"['toilette', 'ccc']",0
4e,Garçon,3,3,3,0,3,2,0,1,[],[],['récrée'],"['horaires', 'temps', 'activités']",['parler à ses potes'],['évaluation'],['la cour'],['salle de classe'],3
6e,Fille,2,2,3,2,3,2,1,2,['aucun'],"['art et culture', ""vie de l'établissement""]",[],"['pose', 'la cour', 'cantine', 'temps']",['pas cours'],[],['classe'],['salle de classe'],0
5e,Garçon,2,0,2,0,1,0,0,0,['compréhension'],[],['aucun'],"['punitions', 'surveillants', 'profs']","['vacances', 'bonnes notes']",[],['terrain'],[],1
5e,Fille,2,3,2,1,3,2,2,3,[],['sport'],['la cour'],['heures'],"['heure de libre', 'amies']",[],"['salle de classe', 'la cour', 'ccc']",[],0
6e,Fille,2,2,2,1,1,2,2,2,[],['art et culture'],['la cour'],['étage'],['la cour'],['couloirs'],"['la cour', 'cantine']",[],3
4e,Fille,2,3,2,2,2,3,2,2,['aucun'],"['MUN', 'projet pédagogiques']","['la cour', 'salle de classe']","['horaires', 'ramadan']","['amis', 'professeurs']",['aucun'],"['médiathèque', 'la cour']",['cantine'],0
6e,Garçon,3,3,3,1,3,3,3,3,[],['MUN'],['établissement'],['aucun'],['tournois'],['salle de classe'],['foyer'],['permanance'],0
6e,Fille,3,2,3,3,2,3,2,3,['ateliers'],"[""vie de l'établissement""]",['auditorium'],"['climatisation', 'concentration']",['moments entre amis'],"['moqueries', 'jugements']",['recrée'],['cantine'],0
6e,Fille,2,1,2,0,2,2,2,2,[],[],['récréation'],[],[],[],[],[],3
4e,Garçon,2,2,3,0,1,1,1,3,[],[],[],"['chaises', 'confort', 'profs', 'strict']",['sonnerie de 16h'],[],['la cour'],['salle de classe'],3
4e,Garçon,1,1,2,2,1,1,1,2,['respect'],['sport'],"['la cour', 'salle de classe']","['nourriture', 'menu', 'cuisiniers', 'ingrédients', 'portions']","['heure de manger', 'heure creuse']","['cours du matin', 'avant de manger', 'dernier cours']",['la cour'],[],2
5e,Fille,2,2,3,2,0,1,0,1,[],['sport'],[],"['activités', 'permanence', 'foot', 'basket']",['réfectoire'],[],['la cour'],[],2
5e,Fille,2,1,1,0,1,1,0,2,[],[],[],['classe'],['quand je rentre chez moi'],['classe'],[],[],1
5e,Fille,3,3,3,2,2,2,2,3,[],"['environnement et solidarité', 'MUN']","['salle de classe', 'amies', 'pause']",[],[],[],[],[],0
5e,Fille,2,1,1,0,1,0,0,0,['aucun'],[],[],['aucun'],['sortie'],['entrée en classe'],['extérieur'],['salle de classe'],1
6e,Garçon,2,2,2,1,2,1,1,2,"['réunion', 'mise au point', 'comportement', 'harcèlement']",['art et culture'],[],['horaires'],['chez moi'],['monté au troisième étage'],['cantine'],['cpe'],3
5e,Fille,2,3,2,1,2,2,2,2,['gentillesse'],[],[],[],[],"['heures de ccc', 'permanence']",[],[],0
5e,Garçon,2,1,2,0,1,1,3,3,[],[],[],[],[],[],[],[],3
6e,Garçon,2,1,1,1,1,1,1,1,"['confiance', 'écoute']",['art et culture'],[],"['clims', 'fontaines']","[""cours d'eps"", ""cours d'arabe""]","['education musicale', 'art plastique']",['terrain'],['permanence'],2
4e,Garçon,2,1,2,3,1,1,2,1,['aucun'],['sport'],[],[],"['pause', 'récréation']","['classe', 'professeurs fatigués', 'punition']","['récréation', 'tarrain']",['permanence'],2
5e,Garçon,2,1,1,2,2,1,0,3,"['écoute', 'confiance']",['sport'],['partout'],"['banc', 'ombre']",['fin du dernier cours'],[],[],['escalier'],2
6e,Fille,1,1,1,2,1,0,0,1,[],"['MUN', 'art et culture']",[],[],['chez moi'],[],[],['école'],1
6e,Garçon,2,2,2,1,2,2,1,1,['aucun'],['sport'],[],"['préau', 'la cour']",['manger'],['la cour'],['préau'],[],3
5e,Garçon,2,1,2,2,2,1,2,2,"['comportement', 'respect']",['sport'],[],['cantine'],"['foot', 'amis']","['rien', 'participe']",[],[],0
4e,Fille,3,2,3,2,0,0,2,3,"['compréhensifs', 'écoute']","['sport', 'art et culture']",['aucun'],"['classe', 'horaire']","['amis', 'cours avec professeurs gentils']",['cours avec professeurs agressifs'],"['la cour', 'terrain']",['salle de classe'],2
4e,Fille,2,2,2,2,1,2,2,2,['compréhension'],"[""vie de l'établissement""]",['aucun'],"['charge', 'heures']",['activités'],['ds commun'],['la cour'],[],2
5e,Fille,2,0,1,2,1,2,0,2,[],"[""vie de l'établissement"", 'projet pédagogiques']",[],['téléphones'],"['bonne note', ""sortie de l'école""]","['mauvaises notes', '2 profs']",[],[],1
4e,Garçon,2,1,2,3,1,1,2,2,"['calme', 'respect']","['MUN', 'sport']",[],"['gentillesse', 'horaires']",['pauses méridiennes'],['cours de 2 heures'],['ccc'],['cantine'],2
6e,Fille,2,1,2,3,2,0,1,1,"['écoute', 'temps']","['MUN', 'art et culture', ""vie de l'établissement""]",[],"['bus', 'psychologue']","['fin de journée', 'pauses méridienne']",['attendre le bus'],"['foyer', 'salle de classe']",['salle de classe'],2
5e,Fille,2,1,2,2,1,0,1,2,['punition'],['projet pédagogiques'],[],['prof'],['rigole avec mes amis'],"['punitions', 'notes']",['dehors'],['salle de classe'],2
5e,Fille,2,2,3,0,2,2,2,2,['aucun'],[],[],['téléphone'],['la cour'],['permanence'],['la cour'],[],3
5e,Garçon,2,1,2,2,2,1,1,2,[],"['sport', ""vie de l'établissement""]",[],"['surveillants', 'accès', 'tms']",[],[],"['foyer', 'salle de classe', 'ccc']",['permanences'],2
4e,Fille,2,2,2,2,3,3,1,1,['communication'],['projet pédagogiques'],[],[],[],[],[],[],0
5e,Garçon,2,0,1,2,0,0,0,0,['aucun'],['sport'],[],"['bancs', 'ombre']","['wahil', 'pas de cours']",[],['sortie'],['la cour'],1
5e,Garçon,2,2,3,0,2,1,1,3,['indulgence'],[],[],"['bancs', 'ombre']",['la cour'],['2 heures de cours'],['la cour'],['salle de classe'],3
6e,Fille,3,2,0,0,2,3,2,3,['gentillesse'],[],[],"['fontaine', 'propreté', 'climatisation']",[],[],['ccc'],['permanence'],3
4e,Fille,2,2,2,2,2,1,1,2,['aucun'],"['sport', 'MUN']",['aucun'],"['justice', 'harcèlement', 'respect']",['récréation'],['classe'],['classe'],['classe'],2
6e,Garçon,2,2,3,0,1,1,1,3,"['confiance', 'écoute']",[],[],['climatisateur'],['heure creuse'],"['la cour', 'chaleur', 'fontaines pas remplies']",['terrain'],['permanence'],3
5e,Garçon,2,1,2,0,1,1,0,3,[],[],[],"['vendredi', '15h']","['rentrer chez moi', 'pause déjeuner', 'heure creuse']",['blagues'],['maison'],['école'],1
6e,Garçon,2,2,3,0,2,2,1,3,[],[],"['classe', 'la cour']",['aucun'],[],[],['gymnase'],['class'],3
6e,Fille,3,2,3,2,2,3,1,3,['écoute'],['projet pédagogiques'],"['salle de classe', 'débat']","['devoirs', 'horaires']",['amis'],['beaucoup de devoirs'],"['la cour', 'salle de classe', 'détente']",['salle de classe'],0
4e,Fille,3,2,3,1,2,2,3,2,['aucun'],['art et culture'],[],['aucun'],['pause'],[],"['couloirs', 'permanences']",['la cour'],0
6e,Fille,2,2,2,3,1,0,3,2,"['confiance', 'écoute', 'dialogue']","['art et culture', 'sport']",[],"['expression', 'écoute']",['amis'],"['révisions', 'évaluation']",['permanences'],['salle de classe'],0
4e,Fille,2,2,2,3,0,0,1,1,"['respect', 'écoute', 'discussion']","['art et culture', 'MUN', 'projet pédagogiques']",[],['climatisation'],['travail de groupe'],['évaluation'],"['salle de classe', 'classe']",['salle de classe'],2
4e,Garçon,2,1,1,1,1,2,1,2,"['neutralité', 'discussion']",['sport'],[],"['poids', 'cantine']",['pause'],['évaluation'],"['recréation', 'cantine', 'permanence']",['salle de classe'],2
4e,Fille,2,2,2,3,1,0,2,2,[],"['environnement et solidarité', 'sport', 'projet pédagogiques', 'art et culture', 'sport', 'art et culture', 'sport', 'projet pédagogiques']",[],"['fontaines', 'événements']","['activités collectives', 'loisirs', 'projets', 'évènements']","['cantine', ""fontaines d'eau lentes""]",[],[],2
4e,Garçon,2,1,2,1,2,2,2,2,['respect'],['environnement et solidarité'],['aucun'],"['pause', 'classe', 'proportion']","['la cour', 'camarades']","['cours trop lent', 'longues heures de travail']","['la cour', 'terrain', 'salle de classe']",[],3
4e,Garçon,2,0,1,2,2,2,2,2,"['écoute', 'respect', 'dialogue', 'confiance']",['projet pédagogiques'],[],"['voyage', 'intégration']",['voyage scolaire'],[],['la cour'],[],2
5e,Garçon,2,2,3,2,2,2,0,2,"['respect', 'préparation', 'espaces', 'parole', 'sécurisés', 'cercles', 'discussion', 'médiateurs']",['sport'],['cpe'],"['relations', 'respect', 'activités', 'cohésion', 'motivation', 'surveillants', 'communication']","['sport', 'bonne ambiance', 'cours intéressants', 'coopération']","['élèves dissipés', 'bruyants', 'malpolis', 'climat de tension']",['terrain'],"['classe', 'vie scolaire']",2
4e,Garçon,2,2,3,1,3,1,2,2,[],[],['la cour'],[],"[""fin de l'année"", 'rentrée']",[],['classe'],[],0
5e,Fille,2,2,2,2,1,1,1,2,[],['sport'],['la cour'],"['téléphone', 'emploi du temps', 'liberté', 'possibilités']","['pause', 'amies']","['classe', 'permanence']","['tables', 'allée']",[],2
4e,Fille,3,0,3,2,1,1,1,1,"['écoute', 'respect', 'bienveillance', 'clarté', 'échanges']","['sport', 'art et culture']",[],['horaires'],"['la cour', 'cantine', 'fin de la journée']",['certains profs'],['terrain'],"['salle de classe', 'permanence']",2
5e,Garçon,3,2,3,0,3,3,2,3,['échange'],[],"['salle de classe', 'la cour']",['horaires'],"['amis', 'la cour', 'salle de classe']","['évaluation', 'contrôles surprise']",['ccc'],['permanence'],0
4e,Fille,2,0,2,3,1,0,1,2,"['empathie', 'écoute']",['sport'],[],"['horaires', 'devoirs', 'évaluation']","['récréation', 'fin des cours']",['cours avec certains profs'],"['terrain', 'la cour']",['salle de classe'],2
4e,Garçon,2,2,1,0,1,1,1,0,['respect'],[],['cours de récréation'],"['emplois', 'sociabilité']","['fêtes', 'réfectoire']","['ds commun', 'professeur en retard']","['réfectoire', 'piscine']","['piscine', 'salle de classe']",3
5e,Fille,2,2,2,3,0,1,0,2,"['écoute', 'temps']",['sport'],['aucun'],"['3langue', 'surveillants', 'intercourts']",['pause'],"['heures consécutives', 'même matière']",['ccc'],['permanence'],2
4e,Garçon,1,3,0,1,0,1,1,3,[],['projet pédagogiques'],[],"['respect', 'téléphones']",['jouer avec des amis'],['racisme'],['extérieur'],[],2
5e,Garçon,1,2,2,0,1,0,1,1,"['écoute', 'respect', 'discussion', 'confiance', 'médiation', 'salle de classe', 'la cour']",[],[],"['couleur', 'nourriture', 'cantine']",[],[],[],[],3
4e,Garçon,2,2,1,2,1,2,0,2,['respect'],['projet pédagogiques'],"['salle de classe', 'la cour']","['horaires', 'enseignants']","['amis', 'activités', 'la cour', 'pause']","['salle de classe', 'matières', 'profs']",['classe'],['salle de classe'],2
4e,Fille,2,2,2,3,1,1,1,2,"['communication', 'compréhension']","['environnement et solidarité', 'sport', 'art et culture', 'projet pédagogiques', ""vie de l'établissement""]",['aucun'],"['fontaine', 'attente', 'activités']","['discuter', 'rigoler', 'sport', 'finir tôt']","['plats pas bons', 'longues files à la cantine', 'pas le temps pour manger', 'longue journée', 'évaluations surprises', 'fontaine qui ne marche pas', 'escaliers bondés']","['salle de classe', 'cantine']",[],2
5e,Fille,3,2,3,3,3,2,2,3,"['respect', 'écoute', 'soutien']",['sport'],[],"['liberté', 'lieu']","['récréation', 'cantine']",[],[],[],0
5e,Fille,2,1,2,3,0,1,0,0,[],"['MUN', 'sport']",[],"['compréhension', 'bien-être', 'infirmière', 'confort', 'circulation', 'liberté', 'expression', 'cantine']","['permanence', 'pause', 'activités', 'cours ludiques']",[],[],['salle de classe'],2
5e,Garçon,3,2,2,2,1,1,1,2,[],['MUN'],[],['sorties'],['sortir plus tôt'],[],['foyer'],[],2
6e,Garçon,2,2,1,1,1,2,1,2,['aucun'],"[""vie de l'établissement""]",['classe'],"['devoirs', 'évaluation']","['sorties scolaires', 'bonne note', 'classe']","['cantine', 'évaluation']","['salle de classe', 'terrain']",[],2
4e,Fille,1,0,3,0,1,0,0,0,"['calme', 'bienveillance']",[],['enquete'],['fermer'],['weekend'],['jours de la semaine'],['maison'],['école'],1
5e,Fille,2,2,3,2,2,2,2,3,[],[],[],[],['pose méridienne'],['matin à la première heure'],[],[],0
4e,Garçon,2,2,2,2,1,2,1,2,['respect'],['projet pédagogiques'],"['salle de classe', 'la cour']","['horaires', 'concentration']","['amis', 'la cour']",['surveillants'],['la cour'],['salle de classe'],2
5e,Garçon,1,0,0,2,1,1,1,2,['respect'],[],['classe'],['pause'],['fin des cours'],['début des cours'],['foyer'],[],1
5e,Garçon,2,1,2,2,2,1,2,1,"['enseignement', 'preuve', 'équité']",[],[],"['emplois', 'perme', 'ccc', 'aide']","['cantine', ""cours que j'aime"", 'apprentissage']","['cours trop tôt', 'cours ennuyant', 'stress', 'cours trop long']","['cantine', 'as', 'art', 'musique', 'technologie']","['classe', 'langues', 'sciences', 'perm']",0
4e,Fille,1,1,1,2,2,1,0,2,"['écoute', 'respect', 'santé']","['MUN', 'art et culture', 'sport']",['aucun'],"['stress', 'évaluation', 'devoirs']",['avec les personnes qui comptent'],"['stress', 'notes', 'pas bien mentalement', 'pas bien avec mes amies']",[],['cantine'],2
5e,Fille,2,1,3,2,1,1,0,1,"['gentillesse', 'écoute']",[],[],"['pc', 'ccc', 'déjeuner', 'cantine']",['cantine'],['classe'],"['ccc', 'allée']",[],2
5e,Fille,2,3,3,2,2,2,1,2,[],['sport'],[],['climatisation'],['heures creuses'],['journées chargées'],['extérieur'],['salle de classe'],0
6e,Garçon,2,3,2,0,0,2,1,2,['aucun'],[],['cantine'],"['devoirs', 'autorisation', 'ccc', 'salle de classe']",['cantine'],['classe'],['la cour'],['classe'],3
6e,Garçon,2,3,3,1,2,2,1,3,[],['art et culture'],['salle de classe'],"['évaluation', 'punition']","['foot', 'la cour', 'cours de français', ""cours d'histoire-géographie""]",['quand les profs crient'],['coure'],['cpe'],3
6e,Garçon,2,3,2,2,2,2,2,2,[],[],[],['climatisation'],['cours intéressants'],['très chaud'],[],[],0
4e,Fille,2,2,2,3,0,0,1,1,"['respect', 'acceptation', 'confiance']","['MUN', 'art et culture']",[],"['climatisation', 'profs']","['heures de pause', 'récrés']","[""cours d'anglais"", 'évaluation']",['ccc'],['salle de classe'],2
5e,Fille,2,1,1,1,1,1,0,2,['écoute'],['sport'],['la cour'],"['vie', 'salle de classe', 'écouté']","['la cour', 'amis']","['fin de journée', 'fatigué']",['la cour'],['salle de classe'],1
6e,Garçon,2,1,2,0,1,2,1,2,[],[],['cpe'],['adultes'],"['foot', 'interclasse']",['punition'],[],"['la cour', 'salle de classe', 'bureau', 'cpe']",3
6e,Fille,2,2,3,1,1,2,0,0,['aucun'],[],['la cour'],['horaires'],[],[],['salle de classe'],['classe'],3
6e,Garçon,2,1,1,2,2,1,1,1,['aucun'],['sport'],[],"['emploi', 'horaires', 'pause']",['la cour'],[],[],[],2
5e,Fille,1,1,1,0,1,1,0,2,[],[],[],"['horaire', 'pause']",['sonnerie de fin des cours'],['sonnerie du début des cours'],['télévision'],['class'],1
5e,Garçon,0,1,1,0,1,0,0,0,"['compréhension', 'droits']",[],[],"['redoublement', 'punition', 'accusation']",['sortie de la classe'],"['surveillant', 'appel au bureau', 'père fâché']",['permanence'],[],1
5e,Garçon,1,1,1,0,1,2,0,2,"['décision', 'écoute']",[],[],['aucun'],['fin des examens'],"[""trop d'examens"", 'révision intensive']","['salle de classe', 'récrée']",['vie scolaire'],1
5e,Fille,2,2,3,1,1,1,1,3,['écoute'],[],[],[],[],[],[],[],3
6e,Fille,2,2,3,1,1,1,2,2,['aucun'],['sport'],[],['horaires'],['prof absent'],['cours des profs absents'],['classe'],['salle de classe'],3
6e,Garçon,1,2,1,0,1,0,1,1,['évaluation'],[],['aucun'],['recre'],['la cour'],['résultats des évaluations'],['recree'],['salle de classe'],3
4e,Garçon,1,0,3,2,0,0,0,1,"['aide', 'compréhension']",['sport'],[],[],"[""sortie de l'école""]","[""rentrée à l'école""]",[],[],1
5e,Fille,2,2,3,3,2,3,0,2,"['questions', 'compréhension', 'dialogue']",['art et culture'],"['la cour', 'ombre', 'porte', 'cantine']","['préau', 'escaliers', 'fraîcheur']","['rigole', 'joue', 'loisirs', 'se confie']","['problème', 'gens qui pleurent']",['préau'],['la cour'],2
6e,Garçon,3,3,3,3,3,3,3,3,['aucun'],"['art et culture', 'MUN']","['salle de classe', 'surveillants', 'cpe', 'la cour']","['tournois', 'foot']",['événements'],"[""sortir de l'école""]","['ccc', 'la cour', 'foyer']",['permanence'],0
5e,Fille,3,2,2,3,2,2,2,2,[],['sport'],"['salle de classe', 'professeur', 'surveillant', 'la cour', ""cellule d'écoute""]",['cantine'],[],[],['ccc'],['cantine'],0
5e,Fille,2,2,3,1,1,1,1,2,"['compréhension', 'confiance']",['MUN'],[],"['clims', 'chauffage']",[],[],['gymnase'],['classe'],2
6e,Garçon,1,1,1,2,1,2,1,1,['présence'],"['sport', ""vie de l'établissement""]","['salle de classe', 'cpe']",['la cour'],"['récrée', 'heure creuse']",['bureau du cpe'],"['récrée', 'heure creuse']",['cpe'],2
6e,Garçon,1,2,2,2,1,1,2,2,"['surveillance', 'écoute']","['art et culture', 'sport', ""vie de l'établissement""]",[],['respect'],['heure creuse'],['moqueries'],['foyer'],['recrer'],2
5e,Garçon,1,2,1,0,0,1,0,2,['écoute'],[],[],"['classe', 'horaire']",['finir plus tôt'],"[""cours l'après-midi""]",['la cour'],['permanence'],1
5e,Garçon,2,1,1,2,1,2,1,2,[],"['MUN', 'sport']",[],"['horaires', 'choix']","['pas de devoirs', 'prof absent', 'vacances']",[],['ccc'],['grille'],2
6e,Garçon,2,2,2,2,2,1,0,2,[],['sport'],"['recréation', 'salle de classe']",['climatisation'],['cours de sport'],['cours de physique-chimie'],['térains'],['sale'],2
6e,Garçon,3,3,3,0,0,3,3,3,['aucun'],[],[],['aucun'],"['amis', 'prof']",['aucun'],[],[],3
4e,Garçon,2,1,1,0,1,1,1,2,"['activités', 'jeux']",[],['aucun'],['gestion'],['rire'],['gênants'],['grand-mère'],[],3
6e,Fille,2,2,2,2,2,1,2,2,"['lettres', 'écriture']","['MUN', 'art et culture']",[],"['caméras', 'boîte']","[""cour d'anglais""]","[""cour d'eps""]",[],[],0
6e,Fille,3,2,2,0,2,3,2,3,[],[],[],"['devoirs', 'horaires']","['amis', 'rigole']",['stresse'],['ccc'],[],3
6e,Fille,2,0,3,2,1,0,0,1,[],"['sport', 'art et culture']",[],"['profs', 'provoquer', 'menacer', 'rabaisser']",['la cour'],['classe'],"['ccc', 'classe']",[],1
5e,Garçon,2,2,2,3,2,1,1,2,['écoute'],['sport'],['la cour'],"['la cour', 'classe']","['compétition', 'retrouver amis', 'rencontrer nouvelles personnes']","['évaluation', 'incompréhension']","['plateaux', 'classe']",['salle de classe'],2
5e,Garçon,2,2,2,2,0,0,0,2,"['vie de classe', 'discussion']","['sport', 'environnement et solidarité']",[],['la cour'],['la cour'],['classe'],"['la cour', 'cantine']",[],2
5e,Fille,2,2,3,3,2,2,2,3,[],['projet pédagogiques'],[],"['programme', 'horaire']",['récréation'],['7h45'],"['la cour', 'ccc']",[],0
6e,Fille,2,1,2,3,1,1,1,2,['compréhension'],['sport'],['cours de math'],['aucun'],[],"['retenue', 'devoirs']","['salle de classe', 'foyer']",[],2
5e,Garçon,2,2,0,2,1,1,1,2,['aucun'],['sport'],[],"['classe', 'temps', 'cantine']",[],['classe'],['classe'],[],2
5e,Garçon,3,3,3,2,2,3,2,2,"['respect', 'discussion', 'écoute', 'honnêteté', 'gentillesse', 'dialogue']","['sport', 'MUN']",[],"['finir', 'temps', 'activités']","['amis', 'pause', 'cours intéressants']","['tensions', 'disputes', 'incompris']",[],[],0
4e,Fille,2,2,2,3,3,2,1,2,"['honnêteté', 'respect']",['sport'],"['la cour', 'classe']",['respect'],[],[],[],['permanance'],0
4e,Garçon,2,1,2,1,1,1,2,2,['respect'],"[""vie de l'établissement""]","['prof', 'cpe']","['snack', 'argent', 'accès']",['projet'],['évaluation'],"['auditorium', 'terrain']",[],3
