niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
6e,Garçon,3,1,3,0,2,3,1,2,['compréhension'],[],[],"['liberté', 'heures']",['amis'],['mauvaise note'],"['la cour', 'minifoot']","['foyer', 'ccc', 'permanence']",3
5e,Garçon,2,2,2,0,0,0,1,2,[],[],[],['horaires'],['profs absents'],['remplacement'],['terrain'],[],3
5e,Fille,3,2,2,2,2,2,2,2,['compréhension'],[],['cellule'],"['code', 'vestimentaire', 'saison']","['sorties', 'pause']",['évaluation'],"['ccc', 'permanence', 'la cour', 'terrain sportif']",[],0
4e,Garçon,2,1,3,0,2,1,2,2,['aucun'],[],['médiathèque'],"['permanence', 'continuité', 'changement', 'heure']",['récréation'],['classe'],['médiathèque'],['permanence'],3
6e,Fille,1,2,3,0,1,2,1,2,['aucun'],[],[],[],['pause'],[],[],[],3
4e,Fille,3,2,3,3,2,3,2,3,[],"[""vie de l'établissement"", ""vie de l'établissement"", 'MUN']",[],['aucun'],['tous les moments'],[],"['permanences', 'la cour', 'ccc']",[],0
6e,Garçon,2,1,1,3,1,0,0,1,['aucun'],['sport'],[],['classe'],['interclass'],['classe'],"['interclasse', 'foyer']",[],2
5e,Fille,1,0,0,2,0,0,1,0,[],"['MUN', 'MASSMUN', 'OSUIMUN', 'THIMUN', 'FERMUN', 'MEDMUN']",[],[],[],[],['ccc'],['la cour'],1
6e,Fille,2,2,1,1,1,2,1,2,[],['environnement et solidarité'],[],[],[],[],[],[],2
4e,Garçon,1,1,0,2,1,0,0,2,['écoute'],['MUN'],['aucun'],['emploi du temps'],['vacances'],[],[],['salle de classe'],1
5e,Fille,2,1,3,0,1,2,1,3,[],[],[],[],[],[],[],[],3
4e,Garçon,2,1,2,2,2,2,0,0,[],['sport'],['cpe'],"['réduire', 'classe', '8h', '13h']",[],[],[],[],2
6e,Garçon,2,2,2,2,3,1,0,2,"['désaccord', 'annulation']",['sport'],[],"['terrain', 'sport', 'temps']","['heure creuse', 'vacances', 'bonne notes']",[],['foyer'],[],2
6e,Garçon,2,2,3,2,2,3,2,2,[],['sport'],[],[],[],[],[],[],0
4e,Garçon,2,2,3,0,2,0,1,2,['respect'],[],[],['heures'],['la cour'],['évaluation'],['allée'],['bureau'],3
5e,Fille,2,2,1,0,1,1,2,2,['aucun'],[],[],"['téléphone', 'récréation', 'perm']",['compréhension'],['indifférence'],['banc'],['permanence'],3
5e,Garçon,1,1,1,3,0,1,1,1,"['confiance', 'dialogue']",['sport'],['aucun'],['respect'],['sport'],['punitions'],['terrain'],['permanence'],2
4e,Garçon,2,2,3,0,1,1,1,3,[],[],[],['horaire'],[],[],[],[],3
4e,Garçon,1,0,1,2,1,1,0,2,[],['sport'],[],['classe'],[],['cantine'],['plateaux'],[],1
4e,Fille,2,1,1,2,1,1,1,2,['respect'],['MUN'],[],['horaires'],['pause'],[],['classe'],[],2
4e,Garçon,2,1,3,2,1,1,1,3,['décisions'],[],[],['sandales'],['récréation'],['cours ennuyeux'],['la cour'],['permanence'],2
5e,Fille,2,2,2,3,1,1,1,0,[],['art et culture'],[],"['bienveillance', 'évaluation', 'devoirs']","['la cour', ""cours d'arabe""]",[],[],[],2
4e,Fille,2,2,2,2,1,1,1,2,['écoute'],['MUN'],[],"['téléphone', 'règles', 'sortir']",['poses'],[],"['la cour', 'ccc']",['salle de classe'],2
4e,Fille,2,2,2,2,2,1,1,1,[],['art et culture'],['médiathèque'],"['horaire', 'égalité']",['amis'],"['cours de maths', ""cours d'espagnol""]","['mediatheque', 'cantine', 'salle de classe', 'classe', 'tables']",[],2
6e,Garçon,3,3,3,0,3,1,2,2,[],[],['aucun'],[],[],[],[],['permanence'],0
6e,Fille,3,2,1,3,1,1,2,3,[],[],[],[],[],[],[],[],0
6e,Fille,3,2,3,2,2,2,3,3,[],"[""vie de l'établissement""]",[],[],[],[],[],[],0
4e,Fille,2,1,2,2,1,0,0,2,[],"['MUN', ""vie de l'établissement""]",[],['heures'],['heures creuses'],[],"['cantine', 'récrée']",['salle de classe'],2
6e,Garçon,1,0,2,0,1,0,0,1,"['compréhension', 'écoute']",[],[],['téléphone'],['bonnes notes'],"[""trois heures d'affilé""]","['récréation', 'cantine']",['salle de cours'],1
6e,Garçon,3,2,3,2,2,2,2,3,['respect'],['art et culture'],[],"['emploi', 'fatigué']","['vacances', ""fin d'année""]",['rentrée'],['tous'],[],0
